date,date_str,annee,mois,zone,cote,swh_mean,swh_min,swh_max_value,swh_std,swh_max_absolu,n_points,etat_mer_satellite,score_risque_vague
2017-08-02,2017-08,2017,8,CAP D'AMBRE A TOAMASINA,EST,1.869226869072538e+36,1.6449728717608059,9.969209968386869e+36,3.8911060186368346e+36,9.969209968386869e+36,16,Tres forte,10.0
2017-08-02,2017-08,2017,8,CAP D'AMBRE A MAHANORO,EST,3.3230699894622897e+36,0.6902778326971107,9.969209968386869e+36,4.699530647812588e+36,9.969209968386869e+36,27,Tres forte,10.0
2017-08-02,2017-08,2017,8,MAHANORO AU CAP SAINTE MARIE,SUD-EST,3.9876839873547476e+36,1.8988487672741559,9.969209968386869e+36,4.8838955122430895e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-08-02,2017-08,2017,8,TOAMASINA AU CAP SAINTE MARIE,EST-SUD,4.9846049841934345e+36,1.8988487672741559,9.969209968386869e+36,4.9846049841934345e+36,9.969209968386869e+36,40,Tres forte,10.0
2017-08-02,2017-08,2017,8,CAP D'AMBRE A BESALAMPY,NORD-OUEST,3.3230699894622897e+36,0.6891700086670162,9.969209968386869e+36,4.699530647812588e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-08-02,2017-08,2017,8,BESALAMPY A MOROMBE,OUEST,4.43075998594972e+36,0.9044840741253986,9.969209968386869e+36,4.953740260284793e+36,9.969209968386869e+36,18,Tres forte,10.0
2017-08-02,2017-08,2017,8,MOROMBE AU CAP SAINTE MARIE,SUD-OUEST,5.316911983139664e+36,1.4343226110304377,9.969209968386869e+36,4.973515749135352e+36,9.969209968386869e+36,15,Tres forte,10.0
2017-08-02,2017-08,2017,8,CAP D'AMBRE A ANTALAHA,NORD-EST,2.4923024920967173e+36,0.6902778326971107,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-08-02,2017-08,2017,8,ANTALAHA A TOAMASINA,EST,1.2461512460483586e+36,1.82666015625,9.969209968386869e+36,3.297006293017218e+36,9.969209968386869e+36,8,Tres forte,10.0
2017-08-02,2017-08,2017,8,TOAMASINA A MANANJARY,EST,4.9846049841934345e+36,2.2097660057831296,9.969209968386869e+36,4.9846049841934345e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-08-02,2017-08,2017,8,MANANJARY A TAOLAGNARO,SUD-EST,4.153837486827862e+36,1.8988487672741559,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-08-02,2017-08,2017,8,NOSY BE ET ENVIRONS,NORD-OUEST,0.8857465190669349,0.6902778326971107,1.2752832971940862,0.2289410080692119,1.9168255778782313,4,Peu agitee,1.8
2017-09-02,2017-09,2017,9,CAP D'AMBRE A TOAMASINA,EST,1.2461512460483586e+36,0.4335826834070371,9.969209968386869e+36,3.297006293017218e+36,9.969209968386869e+36,16,Tres forte,10.0
2017-09-02,2017-09,2017,9,CAP D'AMBRE A MAHANORO,EST,2.9538399906331465e+36,0.4335826834070371,9.969209968386869e+36,4.55217315019718e+36,9.969209968386869e+36,27,Tres forte,10.0
2017-09-02,2017-09,2017,9,MAHANORO AU CAP SAINTE MARIE,SUD-EST,3.9876839873547476e+36,1.981613357245467,9.969209968386869e+36,4.8838955122430895e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-09-02,2017-09,2017,9,TOAMASINA AU CAP SAINTE MARIE,EST-SUD,4.9846049841934345e+36,1.7990757518854248,9.969209968386869e+36,4.9846049841934345e+36,9.969209968386869e+36,40,Tres forte,10.0
2017-09-02,2017-09,2017,9,CAP D'AMBRE A BESALAMPY,NORD-OUEST,2.990762990516061e+36,0.4335826834070371,9.969209968386869e+36,4.5684659299041145e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-09-02,2017-09,2017,9,BESALAMPY A MOROMBE,OUEST,3.8769149877060044e+36,0.8033653124320637,9.969209968386869e+36,4.8599701357238515e+36,9.969209968386869e+36,18,Tres forte,10.0
2017-09-02,2017-09,2017,9,MOROMBE AU CAP SAINTE MARIE,SUD-OUEST,5.316911983139664e+36,1.6379007260565492,9.969209968386869e+36,4.973515749135352e+36,9.969209968386869e+36,15,Tres forte,10.0
2017-09-02,2017-09,2017,9,CAP D'AMBRE A ANTALAHA,NORD-EST,2.4923024920967173e+36,0.5591557930583407,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-09-02,2017-09,2017,9,ANTALAHA A TOAMASINA,EST,1.6620966753641815,0.4335826834070371,2.04210022139967,0.5118957273718885,3.064026615330917,8,Agitee,3.3
2017-09-02,2017-09,2017,9,TOAMASINA A MANANJARY,EST,4.9846049841934345e+36,1.7990757518854248,9.969209968386869e+36,4.9846049841934345e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-09-02,2017-09,2017,9,MANANJARY A TAOLAGNARO,SUD-EST,4.153837486827862e+36,2.058788558330965,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-09-02,2017-09,2017,9,NOSY BE ET ENVIRONS,NORD-OUEST,0.8729477326777817,0.5591557930583407,1.2032200899443848,0.235453817805407,1.9593313108153954,4,Peu agitee,1.7
2017-10-02,2017-10,2017,10,CAP D'AMBRE A TOAMASINA,EST,1.869226869072538e+36,1.338855809342831,9.969209968386869e+36,3.8911060186368346e+36,9.969209968386869e+36,16,Tres forte,10.0
2017-10-02,2017-10,2017,10,CAP D'AMBRE A MAHANORO,EST,3.3230699894622897e+36,0.7665561037138376,9.969209968386869e+36,4.699530647812588e+36,9.969209968386869e+36,27,Tres forte,10.0
2017-10-02,2017-10,2017,10,MAHANORO AU CAP SAINTE MARIE,SUD-EST,3.9876839873547476e+36,1.5028642691012313,9.969209968386869e+36,4.8838955122430895e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-10-02,2017-10,2017,10,TOAMASINA AU CAP SAINTE MARIE,EST-SUD,4.9846049841934345e+36,1.5028642691012313,9.969209968386869e+36,4.9846049841934345e+36,9.969209968386869e+36,40,Tres forte,10.0
2017-10-02,2017-10,2017,10,CAP D'AMBRE A BESALAMPY,NORD-OUEST,3.3230699894622897e+36,0.7288785851261306,9.969209968386869e+36,4.699530647812588e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-10-02,2017-10,2017,10,BESALAMPY A MOROMBE,OUEST,4.43075998594972e+36,0.8793289197835982,9.969209968386869e+36,4.953740260284793e+36,9.969209968386869e+36,18,Tres forte,10.0
