Date debut,Date fin,Thématique,Objets,District,Commune,Localite,Region,Types,Longitude,Latitude,Personne concerne,Mort,Colonne1,description,Commentaire,Date_debut_dt
20/10/2019,,Incident maritime,Noyade d'un jeune homme adventiste,MAHAJANGA,,,,,46.313736111111105,-15.711575,,,,"Le dimanche 20 octobre 2019 vers 14h30 sur la mer du village touristique, un jeune homme adventiste en vacances, âgé de 23 ans, s’est noyé malgré son EVASAN vers l’hôpital d’Androva. Engloutie par la montée du niveau de la mer, la victime n’est repêchée sur la plage qu’après 10 minutes. Malgré les panneaux d’interdiction de baignade installés depuis 2018 sur certains endroits à cause de l’existence d’un courant d’arrachement et d’une forte marée, les vacanciers sont toujours tentés par le calme apparent de la mer. ",,2019-10-20
21/10/2019,21/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/10/2019,22/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/10/2019,23/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/10/2019,24/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/10/2019,25/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/10/2019,26/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/10/2019,27/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/10/2019,28/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/10/2019,29/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/10/2019,30/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/10/2019,31/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/11/2019,01/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/11/2019,02/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/11/2019,03/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/11/2019,04/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/11/2019,05/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/11/2019,06/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/11/2019,07/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/11/2019,08/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/11/2019,09/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
